grade,gender,transgender,sexual_orientation,religion,ethnicity,physical_disability,learning_disability,parent_guardian,guardian_degree,language_at_home_number,parent_other_than_English_frequency,language_at_home_text,book_in_home_number,book_read_number,computer_at_home_number,district,gpa,dei_01,dei_02,dei_03,dei_04,"G_School Climate for Diversity, Equity, and Inclusion			",dei_05,dei_06,dei_07,dei_10,"G_School Climate Overall			",dei_11,dei_12,dei_13,dei_16,dei_17,dei_18,dei_21,dei_75,"G_Classroom Teaching Supporting Diversity, Equity, and Inclusion						",dei_24,dei_25,dei_26,"G_Co-curricular Activities Supporting Diversity, Equity, and Inclusion		",dei_27,dei_28,dei_29,"G_School Commitment to Diversity, Equity, and Inclusion",dei_30,dei_31,dei_32,dei_35,dei_36,dei_37,"G_Everyday Discrimination by Students					",dei_48,dei_49,dei_50,dei_53,dei_54,dei_55,"G_Everyday Discrimination by Teachers					",dei_72,dei_73,dei_74,dei_76,"G_Outcomes					",absent_times,office_times,dei_80,dei_81,dei_82,dei_83,dei_84,"G_Meaningful Interactions Across Difference				",dei_fair_to_boys,share_text,temp,swsd_01,stmarg_remote,dei_stmarg,m_b63,
9,Male,No,Heterosexual,Christian,White,No,No,Stepparent,Finished a professional or graduate degree after college,1,,english,More than 250,10-15,"Yes, three or more",8,4,5,5,5,3,4.5,5,4,5,5,4.75 ,,5,5,5,5,5,5,,5.00 ,0,5,5,3.333333333,3,3,5,3.666666667,3,3,2,4,1,3,2.666666667,3,2,2,1,1,1,1.666666667,4,4,5,4.50 ,4.38 ,,,5,5,5,5,4,4.8,5,,,,,,,Comparison Data
9,Female,No,Heterosexual,Christian,Black or African American,No,No,Single Parent,Did not finish high school,1,,english,More than 250,5-10,"Yes, three or more",8,7,2,2,2,3,2.25,3,3,3,3,3.00 ,,2,2,2,2,2,2,,2.00 ,0,0,0,0,3,3,2,2.666666667,4,4,4,,1,1,2.8,1,3,1,1,1,1,1.333333333,3,4,3,2.00 ,3.00 ,,,1,1,1,1,1,1,3,,,,,,,Comparison Data
10,Male,No,Heterosexual,Christian,White,No,No,Parents,Finished a professional or graduate degree after college,1,,Ingrish,0-10,0-5,"Yes, three or more",8,4,5,5,5,5,5,5,5,5,5,5.00 ,,5,5,5,5,5,5,,5.00 ,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,,,5,5,5,5,5,5,5,,,,,,,Comparison Data
6,Male,No,Heterosexual,None,Black or African American,No,No,Stepparent,Finished high school,3,,3,0-10,5-10,"Yes, one",8,,4,5,5,4,4.5,3,3,3,3,3.00 ,,,5,5,5,5,5,,5.00 ,0,0,0,0,3,3,3,3,4,4,4,4,3,4,3.833333333,1,1,1,1,1,1,1,3,4,3,0.50 ,2.63 ,,,4,4,4,4,3,3.8,5,,,,,,,Comparison Data
6,Male,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,Finished high school,2,,Spanish English and one of the many Guatemalan Dialic,0-10,5-10,No,8,7,5,5,5,4,4.75,5,5,5,5,5.00 ,,1,5,5,5,5,5,,4.33 ,0,0,0,0,3,3,5,3.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,,,5,4,5,5,1,4,4,,,,,,,Comparison Data
9,Male,No,Heterosexual,,Black or African American,No,No,Parents,,1,,English,11-24,0-5,"Yes, three or more",8,,5,5,5,5,5,4,5,5,4,4.50 ,,5,5,5,4,5,5,,4.83 ,0,0,1,0.333333333,5,5,4,4.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4.00 ,3.50 ,,,3,3,5,5,5,4.2,5,,,,,,,Comparison Data
6,Female,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,Did not finish high school,2,,"English,spanish",0-10,0-5,No,8,4,4,2,3,5,3.5,4,3,3,3,3.25 ,,2,2,3,2,2,2,,2.17 ,4,1,0,1.666666667,4,3,4,3.666666667,2,3,1,2,1,2,1.833333333,2,2,2,2,2,2,2,3,2,3,3.50 ,2.88 ,,,2,1,3,1,1,1.6,5,,,,,,,Comparison Data
11,Male,No,Prefer not to answer,Christian,"Hispanic, Latino, or Spanish",No,No,Single Parent,Finished high school,2,,spanish,0-10,0-5,"Yes, two",8,2,3,5,5,3,4,3,3,3,3,3.00 ,,2,2,3,2,2,3,,2.33 ,0,0,0,0,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,1,1,1.666666667,3,3,3,2.00 ,2.75 ,,,3,3,2,2,1,2.2,3,,,,,,,Comparison Data
9,Female,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,Attended some college or earned a 2-year degree,1,,English,100-250,5-10,"Yes, three or more",8,3,5,4,5,5,4.75,4,3,4,4,3.75 ,,4,5,4,4,5,5,,4.50 ,0,0,0,0,3,3,3,3,2,1,1,1,1,1,1.166666667,1,1,1,1,1,1,1,3,3,3,4.00 ,3.25 ,,,2,2,2,3,3,2.4,5,,,,,,,Comparison Data
7,Nonbinary or another gender,No,Bisexual,Christian,White,No,No,Stepparent,Finished a 4-year college degree,2,,Some spanish and mostly english,25-99,5-10,"Yes, three or more",8,3,5,3,3,5,4,4,4,3,4,3.75 ,,4,4,4,2,4,4,,3.67 ,4,1,1,2,3,3,3,3,2,3,4,4,1,3,2.833333333,1,1,1,1,1,1,1,3,3,4,3.50 ,3.38 ,,,1,1,1,1,3,1.4,5,,,,,,,Comparison Data
10,Male,No,Prefer not to answer,Christian,Black or African American,No,No,Stepparent,Finished high school,1,,1,100-250,10-15,"Yes, three or more",8,1,5,1,5,5,4,5,5,5,5,5.00 ,,3,5,5,3,5,5,,4.33 ,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,,,1,5,1,1,1,1.8,5,,,,,,,Comparison Data
11,Female,No,Heterosexual,Agnostic,"Hispanic, Latino, or Spanish",No,No,Stepparent,Did not finish high school,2,,spanish,0-10,0-5,"Yes, three or more",8,4,5,5,5,5,5,5,5,5,5,5.00 ,,4,1,2,2,2,2,,2.17 ,1,1,1,1,4,3,3,3.333333333,4,1,1,1,1,1,1.5,2,2,2,2,2,2,2,4,4,4,5.00 ,4.25 ,,,3,3,3,3,3,3,5,,,,,,,Comparison Data
6,Male,No,Heterosexual,,"Hispanic, Latino, or Spanish",No,Yes,Parents,Finished high school,2,,spanish,11-24,More than 15,"Yes, three or more",8,,3,5,4,5,4.25,5,3,3,5,4.00 ,,,4,2,2,2,2,,2.40 ,1,,4,2.5,3,4,5,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,5.00 ,3.00 ,,,,,,,,#DIV/0!,5,,,,,,,Comparison Data
11,Female,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,Attended some college or earned a 2-year degree,2,,English and Spanish,25-99,0-5,"Yes, two",8,4,5,5,5,5,5,3,3,4,3,3.25 ,,5,5,5,5,5,5,,5.00 ,4,4,5,4.333333333,2,3,2,2.333333333,1,2,1,1,1,1,1.166666667,1,2,1,1,1,1,1.166666667,4,5,4,4.00 ,4.25 ,,,4,2,4,4,4,3.6,5,,,,,,,Comparison Data
6,Prefer not to answer,No,Prefer not to answer,None,"Hispanic, Latino, or Spanish",No,No,Parents,I don't know,2,,Spanish,0-10,5-10,"Yes, one",8,4,5,5,5,5,5,4,5,4,5,4.50 ,,1,1,2,1,1,1,,1.17 ,0,0,4,1.333333333,4,5,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4.00 ,4.75 ,,,4,1,1,1,1,1.6,5,,,,,,,Comparison Data
6,Male,,,,,,,Single Parent,,,,,,,,8,,3,3,3,3,3,1,3,3,3,2.50 ,,1,2,,1,2,2,,1.60 ,1,1,0,0.666666667,3,3,3,3,3,3,3,3,3,1,2.666666667,,,,,,,#DIV/0!,4,4,4,3.50 ,3.88 ,,,,,,,,#DIV/0!,3,,,,,,,Comparison Data
11,Female,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,Did not finish high school,2,,Spanish and English,25-99,0-5,"Yes, one",8,3,5,5,5,5,5,4,4,5,4,4.25 ,,4,2,3,4,4,4,,3.50 ,0,0,0,0,3,3,3,3,3,3,3,3,1,1,2.333333333,1,1,1,1,1,1,1,4,5,4,4.00 ,4.25 ,,,2,3,2,2,2,2.2,5,,,,,,,Comparison Data
10,Female,No,Prefer not to answer,None,White,No,Yes,Parents,Finished high school,1,,English,0-10,0-5,"Yes, three or more",8,5,5,5,5,5,5,1,3,3,3,2.50 ,,1,2,1,1,2,1,,1.33 ,0,0,0,0,3,3,3,3,1,1,1,3,2,2,1.666666667,1,1,1,1,1,1,1,3,3,1,0.50 ,1.88 ,,,5,4,1,4,4,3.6,5,,,,,,,Comparison Data
10,Male,No,Heterosexual,Hindu,White,No,No,Stepparent,Finished a professional or graduate degree after college,1,,english,0-10,0-5,"Yes, three or more",8,2,4,4,5,3,4,3,2,3,2,2.50 ,,2,2,1,2,2,2,,1.83 ,0,0,1,0.333333333,3,2,2,2.333333333,2,2,2,3,2,3,2.333333333,2,2,1,2,1,1,1.5,3,3,3,1.50 ,2.63 ,,,2,3,4,4,1,2.8,4,,,,,,,Comparison Data
6,Male,Yes,Heterosexual,None,White,No,No,Single Parent,,2,,"English, Chinese ",More than 250,More than 15,"Yes, three or more",8,6,3,3,3,3,3,3,3,3,3,3.00 ,,3,3,3,3,3,3,,3.00 ,1,1,1,1,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,4,5,2.50 ,3.38 ,,,1,1,1,1,1,1,3,,,,,,,Comparison Data
6,Male,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,I don't know,3,,English and Spanish,25-99,0-5,"Yes, two",8,7,4,3,4,5,4,3,3,3,4,3.25 ,,4,4,3,4,2,5,,3.67 ,0,0,0,0,2,3,3,2.666666667,3,3,3,3,3,4,3.166666667,3,3,3,3,3,2,2.833333333,4,3,1,0.50 ,2.13 ,,,5,5,5,5,5,5,5,,,,,,,Comparison Data
10,Male,No,,,Black or African American,No,No,Single Parent,I don't know,1,,english,0-10,0-5,"Yes, three or more",8,2,5,5,5,5,5,5,5,5,5,5.00 ,,2,2,2,1,2,2,,1.83 ,5,5,5,5,2,3,2,2.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.50 ,1.63 ,,,1,1,1,1,1,1,5,,,,,,,Comparison Data
11,Male,No,Heterosexual,Christian,Black or African American,No,No,Single Parent,Finished high school,1,,english,0-10,0-5,"Yes, three or more",8,3,4,4,4,4,4,3,4,4,4,3.75 ,,1,3,3,3,3,3,,2.67 ,1,1,1,1,4,4,4,4,1,3,1,2,1,1,1.5,1,1,1,1,1,1,1,2,4,5,4.00 ,3.75 ,,,3,3,3,3,3,3,4,,,,,,,Comparison Data
10,Female,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,Did not finish high school,2,,English and Spanish,11-24,More than 15,"Yes, three or more",8,4,5,5,5,5,5,4,4,5,5,4.50 ,,2,1,1,1,2,2,,1.50 ,4,4,0,2.666666667,3,3,3,3,1,1,1,3,1,1,1.333333333,1,1,1,1,1,1,1,5,5,5,3.50 ,4.63 ,,,5,5,5,5,5,5,5,,,,,,,Comparison Data
11,Female,No,Heterosexual,Christian,Black or African American,No,No,Single Parent,Finished a 4-year college degree,1,,english,11-24,0-5,"Yes, one",8,3,5,5,5,5,5,4,4,5,5,4.50 ,,3,4,4,4,4,4,,3.83 ,5,5,5,5,5,5,5,5,2,1,1,1,1,1,1.166666667,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,,,4,5,3,5,4,4.2,5,,,,,,,Comparison Data
10,Female,No,Questioning,None,White,No,No,Stepparent,Attended some college or earned a 2-year degree,1,,English,More than 250,5-10,"Yes, three or more",8,4,4,4,4,4,4,5,5,5,5,5.00 ,,5,5,5,5,5,5,,5.00 ,1,1,4,2,5,5,5,5,1,2,2,2,2,2,1.833333333,1,1,1,1,1,1,1,5,4,4,2.50 ,3.88 ,,,5,5,5,5,5,5,3,,,,,,,Comparison Data
9,Female,No,Heterosexual,None,White,Yes,No,Parents,Finished high school,1,,english,11-24,5-10,"Yes, one",8,1,4,4,5,5,4.5,3,4,5,5,4.25 ,,3,3,2,4,3,3,,3.00 ,4,1,4,3,3,3,4,3.333333333,3,4,3,4,3,3,3.333333333,1,1,1,1,1,1,1,3,3,3,4.00 ,3.25 ,,,2,2,4,4,4,3.2,5,,,,,,,Comparison Data
11,Male,No,Heterosexual,Christian,White,No,No,Single Parent,Finished a professional or graduate degree after college,2,,English,11-24,5-10,"Yes, three or more",8,3,5,5,5,3,4.5,3,4,3,4,3.50 ,,4,4,4,4,4,4,,4.00 ,5,5,5,5,3,4,4,3.666666667,4,3,4,2,3,3,3.166666667,1,1,1,1,1,1,1,4,4,4,4.00 ,4.00 ,,,2,2,2,2,2,2,4,,,,,,,Comparison Data
10,Female,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,Did not finish high school,2,,Spanish and English,11-24,More than 15,"Yes, three or more",8,4,5,5,5,4,4.75,3,4,5,5,4.25 ,,2,2,4,4,4,4,,3.33 ,,,,#DIV/0!,4,4,5,4.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4.00 ,4.75 ,,,3,3,3,4,4,3.4,5,,,,,,,Comparison Data
12,Female,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Single Parent,Did not finish high school,2,,Spanish,0-10,0-5,"Yes, three or more",8,3,5,5,5,5,5,5,5,5,5,5.00 ,,1,1,1,1,1,1,,1.00 ,0,0,0,0,5,4,5,4.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,3.00 ,4.00 ,,,1,1,1,1,1,1,5,,,,,,,Comparison Data
8,Female,No,Bisexual,Christian,White,No,No,Single Parent,I don't know,1,,english,25-99,0-5,"Yes, one",8,3,5,2,3,4,3.5,3,4,4,3,3.50 ,,4,5,5,3,1,1,,3.17 ,0,0,0,0,2,3,2,2.333333333,2,2,1,3,1,2,1.833333333,3,1,3,4,1,1,2.166666667,1,4,1,2.00 ,2.00 ,,,4,3,4,4,4,3.8,3,,,,,,,Comparison Data
9,Male,No,Heterosexual,None,White,No,,Parents,Finished a 4-year college degree,1,,english,100-250,0-5,"Yes, three or more",8,4,3,3,3,4,3.25,3,3,4,3,3.25 ,,2,2,2,1,3,2,,2.00 ,0,0,0,0,,,,#DIV/0!,,,1,,1,1,1,1,1,1,1,1,1,1,3,4,2,1.00 ,2.50 ,,,1,1,1,1,1,1,4,,,,,,,Comparison Data
9,Male,No,Heterosexual,None,White,No,No,Single Parent,I don't know,1,,English,0-10,0-5,"Yes, three or more",8,1,5,4,4,4,4.25,4,4,4,3,3.75 ,,1,1,2,1,1,1,,1.17 ,0,0,0,0,4,4,3,3.666666667,3,3,3,3,1,1,2.333333333,3,3,3,3,1,1,2.333333333,2,4,1,2.50 ,2.38 ,,,1,1,1,1,1,1,4,,,,,,,Comparison Data
11,Male,No,Heterosexual,Christian,White,No,No,Single Parent,Finished a professional or graduate degree after college,1,,English,25-99,5-10,"Yes, three or more",8,3,4,4,4,4,4,4,4,4,4,4.00 ,,4,4,4,4,4,4,,4.00 ,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3.00 ,3.75 ,,,4,4,4,4,4,4,4,,,,,,,Comparison Data
11,Male,No,Gay/Lesbian/Queer,Other,Black or African American,No,No,Single Parent,Finished high school,1,,English,0-10,0-5,"Yes, two",8,1,3,3,5,3,3.5,2,3,4,4,3.25 ,,3,3,3,1,1,2,,2.17 ,1,5,4,3.333333333,3,4,3,3.333333333,2,2,4,2,1,1,2,1,1,1,1,1,1,1,4,4,3,3.50 ,3.63 ,,,5,5,5,5,5,5,3,,,,,,,Comparison Data
9,Male,No,Heterosexual,None,White,No,No,Parents,Attended some college or earned a 2-year degree,1,,English,25-99,0-5,"Yes, one",8,2,5,5,5,5,5,5,4,4,4,4.25 ,,4,4,2,4,4,2,,3.33 ,1,0,0,0.333333333,5,5,5,5,2,1,2,2,1,2,1.666666667,1,1,1,1,1,1,1,3,5,5,3.00 ,4.00 ,,,4,2,2,4,3,3,5,,,,,,,Comparison Data
9,Male,No,Prefer not to answer,Other,Black or African American,No,No,Parents,Finished high school,1,,English,25-99,5-10,"Yes, two",8,2,5,5,5,5,5,3,3,5,4,3.75 ,,3,3,4,3,4,4,,3.50 ,4,4,4,4,3,3,4,3.333333333,2,3,3,2,1,1,2,2,2,2,3,1,1,1.833333333,2,4,3,3.50 ,3.13 ,,,3,3,2,2,1,2.2,5,,,,,,,Comparison Data
7,Male,No,Heterosexual,Christian,Black or African American,No,No,Single Parent,I don't know,1,,English,0-10,0-5,"Yes, two",8,7,4,2,5,3,3.5,4,3,3,1,2.75 ,,1,1,2,2,1,3,,1.67 ,1,0,5,2,3,3,5,3.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2.00 ,2.50 ,,,4,1,4,1,1,2.2,3,,,,,,,Comparison Data
10,Male,No,Heterosexual,Christian,White,No,Yes,Stepparent,I don't know,1,,evan,25-99,0-5,"Yes, three or more",8,3,4,5,5,5,4.75,3,3,3,4,3.25 ,,2,2,5,3,4,4,,3.33 ,1,1,1,1,3,3,3,3,3,5,5,5,1,2,3.5,4,4,4,3,1,1,2.833333333,2,4,3,3.50 ,3.13 ,,,3,4,4,4,4,3.8,5,,,,,,,Comparison Data
9,Male,No,Prefer not to answer,None,White,No,No,Single Parent,Finished high school,1,,english,11-24,0-5,"Yes, three or more",8,3,5,5,5,5,5,5,5,5,5,5.00 ,,2,2,2,2,2,2,,2.00 ,1,1,1,1,3,4,3,3.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,5.00 ,4.75 ,,,2,2,2,2,2,2,5,,,,,,,Comparison Data
10,Female,No,Heterosexual,Christian,Black or African American,No,No,Parents,Finished a professional or graduate degree after college,1,,english,11-24,0-5,"Yes, three or more",8,3,3,5,5,3,4,4,5,5,4,4.50 ,,3,3,4,2,3,3,,3.00 ,1,1,1,1,4,4,3,3.666666667,2,2,2,2,1,1,1.666666667,2,2,2,2,2,2,2,5,5,5,4.00 ,4.75 ,,,4,3,4,4,4,3.8,3,,,,,,,Comparison Data
9,Male,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,I don't know,2,,English and Spanish,11-24,0-5,No,8,2,5,5,,5,5,5,5,5,5,5.00 ,,1,2,1,3,3,1,,1.83 ,0,0,0,0,,3,,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5.00 ,3.75 ,,,1,1,1,1,1,1,5,,,,,,,Comparison Data
11,Male,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,Finished high school,2,,enlgish and spanish,,0-5,"Yes, three or more",8,2,3,3,3,3,3,3,3,3,3,3.00 ,,3,3,3,3,3,3,,3.00 ,4,,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.50 ,2.88 ,,,3,3,3,3,3,3,3,,,,,,,Comparison Data
12,Male,No,Bisexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,Finished high school,4,,"English, Spanish, French, And Italian ",25-99,5-10,"Yes, two",8,4,5,5,5,5,5,5,5,5,5,5.00 ,,3,3,3,3,3,3,,3.00 ,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5.00 ,3.50 ,,,1,1,1,1,1,1,5,,,,,,,Comparison Data
12,Female,No,Heterosexual,Christian,Black or African American,No,No,Single Parent,Did not finish high school,1,,english,0-10,0-5,"Yes, three or more",8,3,3,3,3,3,3,2,3,3,2,2.50 ,,5,2,1,1,2,1,,2.00 ,0,0,0,0,4,4,4,4,4,4,5,3,1,2,3.166666667,3,3,3,3,3,3,3,3,3,3,0.50 ,2.38 ,,,3,3,3,3,3,3,3,,,,,,,Comparison Data
7,Female,Yes,,,Black or African American,Yes,Yes,Single Parent,Attended some college or earned a 2-year degree,,,,11-24,5-10,"Yes, one",8,4,3,5,3,3,3.5,3,2,4,5,3.50 ,,3,4,4,5,4,2,,3.67 ,4,5,4,4.333333333,3,2,1,2,1,3,2,4,4,5,3.166666667,2,2,1,3,4,3,2.5,1,2,3,3.50 ,2.38 ,,,5,4,3,2,1,3,2,,,,,,,Comparison Data
9,Male,No,Prefer not to answer,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,I don't know,2,,Spanish and English,0-10,0-5,"Yes, one",8,3,5,3,4,4,4,3,4,4,4,3.75 ,,3,4,,5,5,3,,4.00 ,1,1,1,1,5,5,4,4.666666667,2,2,2,2,2,2,2,1,1,1,1,1,1,1,3,3,3,4.00 ,3.25 ,,,2,2,2,2,2,2,4,,,,,,,Comparison Data
9,Male,No,Heterosexual,Other,White,No,No,Single Parent,Attended some college or earned a 2-year degree,1,,english,11-24,0-5,"Yes, one",8,7,3,3,3,3,3,3,3,3,3,3.00 ,,4,3,3,3,3,3,,3.17 ,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.00 ,2.75 ,,,3,3,3,3,3,3,3,,,,,,,Comparison Data
9,Male,No,Heterosexual,None,White,No,No,Parents,I don't know,1,,english,11-24,0-5,"Yes, three or more",8,3,4,4,4,4,4,3,4,4,4,3.75 ,,2,2,1,1,2,2,,1.67 ,0,0,0,0,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,4,4,4,3.00 ,3.75 ,,,2,3,2,2,2,2.2,4,,,,,,,Comparison Data
7,Male,Yes,Heterosexual,None,Black or African American,No,No,Single Parent,I don't know,1,,english,0-10,0-5,No,8,7,2,2,2,2,2,1,2,2,2,1.75 ,,3,3,3,3,3,3,,3.00 ,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.00 ,2.50 ,,,3,3,3,,3,3,2,,,,,,,Comparison Data
